Amine	伯胺	仲胺	叔胺	浓度	温度	压力	负载
1DMA2P	0	0	1	1	298	11	0.912
1DMA2P	0	0	1	1	298	15	0.935
1DMA2P	0	0	1	1	298	30	0.971
1DMA2P	0	0	1	1	298	60	0.998
1DMA2P	0	0	1	1	298	100	1.02
1DMA2P	0	0	1	1	313	11	0.868
1DMA2P	0	0	1	1	313	15	0.897
1DMA2P	0	0	1	1	313	30	0.947
1DMA2P	0	0	1	1	313	60	0.982
1DMA2P	0	0	1	1	313	100	1.005
1DMA2P	0	0	1	1	333	11	0.745
1DMA2P	0	0	1	1	333	15	0.793
1DMA2P	0	0	1	1	333	30	0.871
1DMA2P	0	0	1	1	333	60	0.935
1DMA2P	0	0	1	1	333	100	0.969
1DMA2P	0	0	1	2	298	12.5	0.842
1DMA2P	0	0	1	2	298	17	0.87
1DMA2P	0	0	1	2	298	32	0.925
1DMA2P	0	0	1	2	298	61	0.953
1DMA2P	0	0	1	2	298	100	0.983
1DMA2P	0	0	1	2	313	12.5	0.78
1DMA2P	0	0	1	2	313	17	0.818
1DMA2P	0	0	1	2	313	32	0.89
1DMA2P	0	0	1	2	313	61	0.94
1DMA2P	0	0	1	2	313	100	0.966
1DMA2P	0	0	1	2	333	12.5	0.635
1DMA2P	0	0	1	2	333	17	0.688
1DMA2P	0	0	1	2	333	32	0.785
1DMA2P	0	0	1	2	333	61	0.97
1DMA2P	0	0	1	2	333	100	0.918
AMP	1	0	0	2	293	98.93	0.96
AMP	1	0	0	2	293	49.88	0.9
AMP	1	0	0	2	293	19.28	0.88
AMP	1	0	0	2	293	8.39	0.815
AMP	1	0	0	2	293	3.23	0.781
AMP	1	0	0	2	313	94	0.94
AMP	1	0	0	2	313	47.05	0.841
AMP	1	0	0	2	313	18.01	0.768
AMP	1	0	0	2	313	7.94	0.704
AMP	1	0	0	2	313	2.7	0.62
AMP	1	0	0	2	333	82.66	0.83
AMP	1	0	0	2	333	41.14	0.735
AMP	1	0	0	2	333	16.46	0.6
AMP	1	0	0	2	333	8	0.476
AMP	1	0	0	2	333	1.9	0.375
AMP	1	0	0	2	353	53.33	0.618
AMP	1	0	0	2	353	25.84	0.463
AMP	1	0	0	2	353	10.4	0.291
AMP	1	0	0	2	353	4.99	0.212
AMP	1	0	0	2	353	1.59	0.154
AMP	1	0	0	3	293	98.93	0.898
AMP	1	0	0	3	293	49.88	0.846
AMP	1	0	0	3	293	19.28	0.83
AMP	1	0	0	3	293	8.39	0.763
AMP	1	0	0	3	293	3.23	0.747
AMP	1	0	0	3	313	94	0.875
AMP	1	0	0	3	313	47.05	0.815
AMP	1	0	0	3	313	18.01	0.714
AMP	1	0	0	3	313	7.94	0.643
AMP	1	0	0	3	313	2.7	0.582
AMP	1	0	0	3	333	82.66	0.809
AMP	1	0	0	3	333	41.14	0.683
AMP	1	0	0	3	333	16.46	0.546
AMP	1	0	0	3	333	8	0.427
AMP	1	0	0	3	333	1.9	0.321
AMP	1	0	0	3	353	53.33	0.524
AMP	1	0	0	3	353	25.84	0.394
AMP	1	0	0	3	353	10.4	0.247
AMP	1	0	0	3	353	4.99	0.169
AMP	1	0	0	3	353	1.59	0.126
DEEA	0	0	1	1	293	6.6	0.857
DEEA	0	0	1	1	293	15	0.901
DEEA	0	0	1	1	293	26.2	0.927
DEEA	0	0	1	1	293	31.2	0.932
DEEA	0	0	1	1	293	56.2	0.939
DEEA	0	0	1	1	293	100.8	0.971
DEEA	0	0	1	1	313	8.1	0.835
DEEA	0	0	1	1	313	13.2	0.828
DEEA	0	0	1	1	313	22.6	0.839
DEEA	0	0	1	1	313	29.6	0.879
DEEA	0	0	1	1	313	58.2	0.931
DEEA	0	0	1	1	313	100	0.959
DEEA	0	0	1	1	333	8.4	0.622
DEEA	0	0	1	1	333	3.8	0.739
DEEA	0	0	1	1	333	26.2	0.788
DEEA	0	0	1	1	333	29.5	0.793
DEEA	0	0	1	1	333	54	0.878
DEEA	0	0	1	1	333	100.8	0.866
DEEA	0	0	1	1	353	5.9	0.353
DEEA	0	0	1	1	353	15.3	0.481
DEEA	0	0	1	1	353	50.3	0.685
DEEA	0	0	1	1	353	100.8	0.772
DEEA	0	0	1	2	293	6.6	0.801
DEEA	0	0	1	2	293	15	0.814
DEEA	0	0	1	2	293	26.2	0.868
DEEA	0	0	1	2	293	31.2	0.893
DEEA	0	0	1	2	293	56.2	0.907
DEEA	0	0	1	2	293	100.8	0.931
DEEA	0	0	1	2	293	100.8	0.95
DEEA	0	0	1	2	313	8.2	0.684
DEEA	0	0	1	2	313	13.2	0.752
DEEA	0	0	1	2	313	14.8	0.782
DEEA	0	0	1	2	313	22.6	0.804
DEEA	0	0	1	2	313	29.6	0.824
DEEA	0	0	1	2	313	58.2	0.868
DEEA	0	0	1	2	313	100.8	0.914
DEEA	0	0	1	2	333	7.7	0.501
DEEA	0	0	1	2	333	8.4	0.508
DEEA	0	0	1	2	333	13.8	0.584
DEEA	0	0	1	2	333	26.2	0.627
DEEA	0	0	1	2	333	29.5	0.726
DEEA	0	0	1	2	333	54.1	0.777
DEEA	0	0	1	2	333	100.8	0.839
DEEA	0	0	1	2	353	5.9	0.217
DEEA	0	0	1	2	353	15.3	0.316
DEEA	0	0	1	2	353	50.4	0.492
DEEA	0	0	1	2	353	100.8	0.647
DEEA	0	0	1	2	353	100.8	0.663
DEEA	0	0	1	3	293	15.2	0.758
DEEA	0	0	1	3	293	15	0.75
DEEA	0	0	1	3	293	26.2	0.83
DEEA	0	0	1	3	293	31.2	0.86
DEEA	0	0	1	3	293	56.2	0.871
DEEA	0	0	1	3	293	100.8	0.89
DEEA	0	0	1	3	293	100.6	0.896
DEEA	0	0	1	3	313	8.2	0.6
DEEA	0	0	1	3	313	13.2	0.684
DEEA	0	0	1	3	313	22.6	0.749
DEEA	0	0	1	3	313	30	0.786
DEEA	0	0	1	3	313	58.2	0.827
DEEA	0	0	1	3	313	100.8	0.85
DEEA	0	0	1	3	313	100.8	0.802
DEEA	0	0	1	3	333	7.7	0.332
DEEA	0	0	1	3	333	7.8	0.317
DEEA	0	0	1	3	333	13.8	0.434
DEEA	0	0	1	3	333	26.2	0.538
DEEA	0	0	1	3	333	29.5	0.576
DEEA	0	0	1	3	333	54.7	0.703
DEEA	0	0	1	3	353	5.9	0.103
DEEA	0	0	1	3	353	15.3	0.153
DEEA	0	0	1	3	353	50.4	0.288
DEEA	0	0	1	3	353	100.8	0.435
DEEA	0	0	1	4	293	7.5	0.486
DEEA	0	0	1	4	293	14.8	0.739
DEEA	0	0	1	4	293	15	0.599
DEEA	0	0	1	4	293	30.6	0.802
DEEA	0	0	1	4	293	58.9	0.899
DEEA	0	0	1	4	293	100.8	0.912
DEEA	0	0	1	4	313	8	0.458
DEEA	0	0	1	4	313	15.2	0.543
DEEA	0	0	1	4	313	29.7	0.755
DEEA	0	0	1	4	313	60.2	0.813
DEEA	0	0	1	4	313	100.8	0.867
DEEA	0	0	1	4	333	7.8	0.205
DEEA	0	0	1	4	333	15	0.258
DEEA	0	0	1	4	333	29.7	0.358
DEEA	0	0	1	4	333	60	0.577
DEEA	0	0	1	4	333	100.8	0.672
DEEA	0	0	1	4	353	5.9	0.064
DEEA	0	0	1	4	353	15.3	0.081
DEEA	0	0	1	4	353	50.2	0.156
DEEA	0	0	1	4	353	100.8	0.267
DEEA	0	0	1	4	353	100.8	0.281
DMEA	0	0	1	1	298.15	8.1	0.692
DMEA	0	0	1	1	298.15	15	0.769
DMEA	0	0	1	1	298.15	20.3	0.783
DMEA	0	0	1	1	298.15	30.4	0.81
DMEA	0	0	1	1	298.15	60.8	0.853
DMEA	0	0	1	1	303.15	8.1	0.664
DMEA	0	0	1	1	303.15	15	0.751
DMEA	0	0	1	1	303.15	20.3	0.768
DMEA	0	0	1	1	303.15	30.4	0.79
DMEA	0	0	1	1	303.15	60.8	0.832
DMEA	0	0	1	1	308.15	8.1	0.62
DMEA	0	0	1	1	308.15	15	0.72
DMEA	0	0	1	1	308.15	20.3	0.723
DMEA	0	0	1	1	308.15	30.4	0.751
DMEA	0	0	1	1	308.15	60.8	0.817
DMEA	0	0	1	1	313.15	8.1	0.563
DMEA	0	0	1	1	313.15	15	0.661
DMEA	0	0	1	1	313.15	20.3	0.686
DMEA	0	0	1	1	313.15	30.4	0.725
DMEA	0	0	1	1	313.15	60.8	0.807
MDEA	0	0	1	2	303	1.1	0.114
MDEA	0	0	1	2	303	3.1	0.244
MDEA	0	0	1	2	303	4.8	0.333
MDEA	0	0	1	2	303	10.5	0.483
MDEA	0	0	1	2	303	29.8	0.673
MDEA	0	0	1	2	303	48.4	0.793
MDEA	0	0	1	2	303	95.8	0.88
MDEA	0	0	1	2	313	1.1	0.103
MDEA	0	0	1	2	313	3.1	0.197
MDEA	0	0	1	2	313	5.2	0.267
MDEA	0	0	1	2	313	10	0.374
MDEA	0	0	1	2	313	30.3	0.603
MDEA	0	0	1	2	313	47.5	0.688
MDEA	0	0	1	2	313	94	0.805
MDEA	0	0	1	2	323	1	0.079
MDEA	0	0	1	2	323	2.9	0.148
MDEA	0	0	1	2	323	4.8	0.194
MDEA	0	0	1	2	323	9.7	0.298
MDEA	0	0	1	2	323	28.4	0.471
MDEA	0	0	1	2	323	44.1	0.59
MDEA	0	0	1	2	323	91.5	0.726
